hora;cepa;temperatura;pH
8,4595;MA;32;4,8824
8,6837;MA;32;4,8316
8,9203;MA;32;4,7861
9,1819;MA;32;4,733
9,4558;MA;32;4,6909
9,7298;MA;32;4,6579
10,0038;MA;32;4,6258
10,2778;MA;32;4,5948
10,5518;MA;32;4,5728
10,8258;MA;32;4,5487
11,0998;MA;32;4,5326
11,3737;MA;32;4,516
11,6477;MA;32;4,5006
11,9217;MA;32;4,4895
12,1957;MA;32;4,4757
12,4697;MA;32;4,4665
12,7437;MA;32;4,4556
13,0176;MA;32;4,4481
13,2916;MA;32;4,4403
13,5656;MA;32;4,4336
13,8396;MA;32;4,4248
14,1136;MA;32;4,4187
14,3876;MA;32;4,4103
14,6616;MA;32;4,4097
14,9355;MA;32;4,4036
15,2095;MA;32;4,3957
15,4835;MA;32;4,3929
15,7575;MA;32;4,3861
16,0315;MA;32;4,3827
16,3055;MA;32;4,3799
16,5794;MA;32;4,3781
16,8534;MA;32;4,3722
17,1274;MA;32;4,3649
17,4014;MA;32;4,3652
17,6754;MA;32;4,3655
17,9494;MA;32;4,3658
18,2234;MA;32;4,3661
18,4973;MA;32;4,3657
18,7713;MA;32;4,3598
19,0453;MA;32;4,3601
19,3193;MA;32;4,3546
19,5933;MA;32;4,3516
19,8673;MA;32;4,3567
20,1412;MA;32;4,3537
20,4152;MA;32;4,3525
20,6892;MA;32;4,3528
20,9632;MA;32;4,3531
21,2372;MA;32;4,3534
21,5112;MA;32;4,3537
21,7727;MA;32;4,354
0,0906;MA;37;6,7417
0,3023;MA;37;6,7465
0,8876;MA;37;6,7289
1,1616;MA;37;6,7286
1,4356;MA;37;6,7233
1,7096;MA;37;6,7219
1,9711;MA;37;6,7146
2,3572;MA;37;6,7214
2,6311;MA;37;6,7114
2,9051;MA;37;6,7024
3,1791;MA;37;6,6962
3,4531;MA;37;6,6876
3,7271;MA;37;6,6743
4,0011;MA;37;6,6599
4,275;MA;37;6,6443
4,549;MA;37;6,626
4,823;MA;37;6,6056
5,097;MA;37;6,5875
5,371;MA;37;6,5636
5,645;MA;37;6,5273
5,919;MA;37;6,4899
6,1929;MA;37;6,4462
6,4296;MA;37;6,3985
6,6413;MA;37;6,351
6,853;MA;37;6,3018
7,0398;MA;37;6,2511
7,2017;MA;37;6,2057
7,3511;MA;37;6,154
7,513;MA;37;6,1027
7,6749;MA;37;6,0546
7,8368;MA;37;6,0027
7,9863;MA;37;5,9505
8,1108;MA;37;5,901
8,2478;MA;37;5,8497
8,3973;MA;37;5,7999
8,5467;MA;37;5,7473
8,6837;MA;37;5,696
8,8207;MA;37;5,6453
8,9577;MA;37;5,5916
9,076;MA;37;5,5202
9,2192;MA;37;5,4624
9,3313;MA;37;5,4133
9,4558;MA;37;5,3656
9,5804;MA;37;5,3148
9,7174;MA;37;5,2644
9,8394;MA;37;5,2059
9,9374;MA;37;5,1555
10,0785;MA;37;5,1001
10,2031;MA;37;5,0493
10,3401;MA;37;4,9982
10,4771;MA;37;4,9404
10,6016;MA;37;4,8951
10,7386;MA;37;4,8406
10,9254;MA;37;4,7916
11,162;MA;37;4,741
11,4236;MA;37;4,6949
11,6975;MA;37;4,6528
11,9715;MA;37;4,6194
12,2455;MA;37;4,5916
12,5195;MA;37;4,5656
12,7935;MA;37;4,5465
13,0675;MA;37;4,529
13,3414;MA;37;4,5107
13,6154;MA;37;4,4971
13,8894;MA;37;4,4858
14,1634;MA;37;4,471
14,4374;MA;37;4,4581
14,7114;MA;37;4,4491
14,9854;MA;37;4,4397
15,2593;MA;37;4,4317
15,5333;MA;37;4,4212
15,8073;MA;37;4,4124
16,0813;MA;37;4,4051
16,3553;MA;37;4,3981
16,6293;MA;37;4,3937
16,9032;MA;37;4,3855
17,1772;MA;37;4,3808
17,4512;MA;37;4,3809
17,6007;MA;37;4,379
18,1735;MA;37;4,3523
18,4475;MA;37;4,3526
18,7215;MA;37;4,3465
18,9955;MA;37;4,3433
19,2695;MA;37;4,3372
19,5435;MA;37;4,3334
19,8174;MA;37;4,3299
20,0914;MA;37;4,3271
20,3654;MA;37;4,3221
20,6394;MA;37;4,3209
20,9134;MA;37;4,316
21,1874;MA;37;4,3124
21,4614;MA;37;4,3069
21,7353;MA;37;4,3062
21,8848;MA;37;4,3063
