hora;cepa;temperatura;pH
7,5762;TA050;40;5,4197
7,8523;TA050;40;5,388
8,1283;TA050;40;5,3564
8,4044;TA050;40;5,3265
8,6805;TA050;40;5,2956
8,9566;TA050;40;5,2701
9,2326;TA050;40;5,2414
9,5087;TA050;40;5,2215
9,7848;TA050;40;5,1983
10,0609;TA050;40;5,1747
10,3369;TA050;40;5,1523
10,613;TA050;40;5,1337
10,8891;TA050;40;5,1125
11,1652;TA050;40;5,0962
11,4413;TA050;40;5,0788
11,7173;TA050;40;5,0594
11,9934;TA050;40;5,0443
12,2695;TA050;40;5,0294
12,5456;TA050;40;5,0156
12,8216;TA050;40;5,0026
13,0977;TA050;40;4,9863
13,3738;TA050;40;4,9714
13,6499;TA050;40;4,9551
13,9259;TA050;40;4,941
14,202;TA050;40;4,9245
14,4781;TA050;40;4,9098
14,7542;TA050;40;4,8977
15,0302;TA050;40;4,8843
15,3063;TA050;40;4,8707
15,5824;TA050;40;4,8612
15,8585;TA050;40;4,848
16,1346;TA050;40;4,8338
16,4106;TA050;40;4,8256
16,6867;TA050;40;4,8115
16,9628;TA050;40;4,8004
17,2389;TA050;40;4,7893
17,5149;TA050;40;4,7721
17,791;TA050;40;4,7581
18,0671;TA050;40;4,7489
18,3432;TA050;40;4,7365
18,6192;TA050;40;4,7273
18,8953;TA050;40;4,722
19,1714;TA050;40;4,7134
19,4475;TA050;40;4,7062
19,7236;TA050;40;4,698
19,9996;TA050;40;4,6915
20,2757;TA050;40;4,6848
20,5518;TA050;40;4,677
20,8279;TA050;40;4,6697
21,1039;TA050;40;4,6633
21,38;TA050;40;4,6574
21,6561;TA050;40;4,652
21,9322;TA050;40;4,6446
22,2082;TA050;40;4,6435
22,4843;TA050;40;4,6376
22,7604;TA050;40;4,634
23,0365;TA050;40;4,6283
23,3126;TA050;40;4,6214
23,4757;TA050;40;4,619
