Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,
X,Y,X,Y,X,Y,X,Y
0.0905563552162214,6.723493338885662,0.0905563552162214,6.6955757252029064,,,0.0905563552162214,6.741691487064051
0.3645409600100131,6.732683147985637,0.3645409600100131,6.691944111722653,,,0.30227173164778787,6.746470935314826
0.6385255648038053,6.740838971393658,0.6385255648038053,6.691828049595042,,,0.8876024782527068,6.728908424000575
0.9125101695975968,6.747133620556162,0.9125101695975968,6.6834401019318,,,1.1615870830464987,6.728585564734574
1.1864947743913887,6.745983572736597,1.1864947743913887,6.674845357130168,,,1.4355716878402907,6.723299574147194
1.4604793791851807,6.740904379287608,1.4604793791851807,6.663355452391064,,,1.7095562926340826,6.721942729189238
1.7344639839789726,6.738099954360917,1.7344639839789726,6.650417967683225,,,1.9710870517554293,6.71461660245703
2.0084485887727643,6.726196455345032,2.0084485887727643,6.6364464972834325,,,2.357156267601227,6.721405204166025
2.2824331935665567,6.710777404976503,2.2824331935665567,6.616271112731916,,,2.6311408723950187,6.711362879395657
2.556417798360348,6.693497180362458,2.556417798360348,6.598370496702698,,,2.90512547718881,6.702354540317243
2.8304024031541397,6.6772509414403665,2.8304024031541397,6.573438777968193,,,3.1791100819826026,6.6962413611763
3.104387007947932,6.646942497107702,3.104387007947932,6.545405102157827,,,3.453094686776394,6.687646616374668
3.3783716127417236,6.615600067083083,3.3783716127417236,6.514889860686772,,,3.7270792915701865,6.674295537390047
3.652356217535516,6.579708100013867,3.652356217535516,6.482099850693418,,,4.001063896363978,6.659910472713472
3.8889792853119722,6.532556815621155,3.9263408223293075,6.440831158026041,,,4.2750485011577695,6.644284625206553
4.100694661743539,6.482678631322255,4.200325427123099,6.395840116867631,,,4.549033105951562,6.625970414900554
4.29995619250266,6.428769970483872,4.449402340572001,6.347076701381168,,,4.823017710745353,6.605588233210646
4.474310031916891,6.378914401633684,4.648663871331123,6.300136775857128,,,5.097002315539146,6.587480820043037
4.623756179986232,6.3344262354734635,4.823017710745353,6.248331405416398,,,5.370986920332937,6.563583087000487
4.885286939107579,6.205503391367475,5.00982539583203,6.197392597360129,,,5.64497152512673,6.5272775256544895
5.022279241504475,6.156972111064871,5.184179235246261,6.145167477965881,,,5.918956129920521,6.489937978616538
5.146817698228926,6.10387776952907,5.333625383315602,6.094147476477346,,,6.192940734714313,6.4461877202884725
5.271356154953376,6.046688844653131,5.470617685712498,6.045085416852872,,,6.42956380249077,6.3985452926920825
5.383440766005383,5.991078733554204,5.570248451092059,5.987869443599736,,,6.6412791789223355,6.350973470922735
5.483071531384943,5.93829855891955,5.7196945991614,5.935712057850052,,,6.852994555353902,6.301758760776172
5.545340759747169,5.8882075339458595,5.844233055885851,5.88534743854101,,,7.039802240440579,6.2510636779187205
5.657425370799174,5.834417237664771,5.968771512610301,5.834072911823048,,,7.201702234182365,6.205744121924532
5.757056136178735,5.786186600074714,6.0933099693347526,5.781888477696167,,,7.351148382251706,6.153965864261897
5.856686901558295,5.731700349048337,6.217848426059203,5.729704043569286,,,7.513048375993492,6.102742742340791
